"SNAME","CNAME","DNAME","API13","API12","SD_SIG","EL_SIG","MEALS","YR_RND","ACS_K3","ACS_46","ENROLL","PCST_E28","alreadyInRIF","aiRIFtxt","mealsQuant","pcst_e28Quant","letter","LAT","LONG"
"BEN LOMOND ELEMENTARY","LOS ANGELES","COVINA-VALLEY UNIFIED",824,"813","YES","YES",76,"NO","21","29",337,151.2,0,"No",1,3,"L","34.10035","-117.878191"
"BENITO JUAREZ ELEMENTARY","LOS ANGELES","ABC UNIFIED",813,"816","YES","YES",73,"NO","20","31",264,116.64,0,"No",1,1,"J","33.875042","-118.078194"
"BENJAMIN F. BESWICK ELEMENTARY","ORANGE","TUSTIN UNIFIED",837,"812","YES","YES",88,"NO","22","33",435,195.84,0,"No",2,4,"Out","33.7312","-117.820581"
"BENJAMIN FRANKLIN ELEMENTARY","LOS ANGELES","GLENDALE UNIFIED",842,"803","YES","YES",49,"NO","23","26",322,153.6,0,"No",1,3,"L","34.162109","-118.296282"
"BENNETT/KEW ELEMENTARY","LOS ANGELES","INGLEWOOD UNIFIED",767,"799","YES","YES",94,"NO","30","31",451,205.92,0,"No",3,4,"Out","33.927573","-118.332582"
"BERTRAND AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",825,"840","YES","YES",100,"NO","22","23",245,108,0,"No",3,1,"B","34.19839","-118.525281"
"BERYL HEIGHTS ELEMENTARY","LOS ANGELES","REDONDO BEACH UNIFIED",942,"952","NO","NO",14,"NO","25","36",297,140.64,0,"No",0,2,"O","33.852181","-118.38405"
"BETTY PLASENCIA ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",786,"788","YES","YES",100,"NO","22","27",531,240.48,0,"No",3,4,"Out","34.06646","-118.255681"
"BEVERLY VISTA ELEMENTARY","LOS ANGELES","BEVERLY HILLS UNIFIED",912,"920","NO","NO",9,"NO","19","26",598,271.68,0,"No",0,4,"Out","34.064866","-118.394487"
"BILLY MITCHELL ELEMENTARY","LOS ANGELES","LAWNDALE ELEMENTARY",802,"811","YES","YES",90,"NO","22","26",405,190.08,0,"No",2,4,"Out","33.900527","-118.359464"
"BIRDIELEE V. BRIGHT ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",778,"808","YES","YES",100,"NO","24","27",482,222.24,0,"No",3,4,"Out","34.02308","-118.311051"
"BIRNEY ELEMENTARY","LOS ANGELES","LONG BEACH UNIFIED",802,"796","YES","YES",76,"NO","26","32",458,207.36,0,"No",1,4,"Out","33.811005","-118.200437"
"BIRNEY ELEMENTARY","LOS ANGELES","REDONDO BEACH UNIFIED",917,"927","YES","NO",28,"NO","26","31",272,127.68,0,"No",0,1,"N","33.869506","-118.376064"
"BITELY (ARLENE) ELEMENTARY","LOS ANGELES","GARVEY ELEMENTARY",829,"824","YES","YES",91,"NO","22","31",396,181.92,1,"Yes",2,4,"Out","34.05992","-118.104841"
"BIXBY ELEMENTARY","LOS ANGELES","HACIENDA LA PUENTE UNIFIED",791,"790","YES","NO",85,"NO","18","26",213,96,0,"No",2,0,"E","33.99649","-117.947831"
"BIXBY ELEMENTARY","LOS ANGELES","LONG BEACH UNIFIED",828,"850","YES","NO",53,"NO","25","31",346,156.96,0,"No",1,3,"L","33.796311","-118.130678"
